epoch,negative_sampling_loss,dirichlet_prior_loss
1,108.631,-39158.961
2,74.112,-39257.106
3,45.967,-39391.515
4,38.579,-39572.887
5,37.260,-39810.790
6,36.848,-40112.583
7,36.565,-40482.354
8,36.338,-40920.792
9,36.132,-41426.052
10,35.950,-41993.379
11,35.782,-42617.190
12,35.620,-43292.543
13,35.473,-44013.065
14,35.319,-44774.288
15,35.183,-45571.231
16,35.058,-46400.779
17,34.938,-47260.324
18,34.832,-48147.488
19,34.724,-49060.271
20,34.618,-49997.588
21,34.527,-50957.895
22,34.440,-51941.384
23,34.351,-52947.360
24,34.275,-53975.081
25,34.194,-55024.992
26,34.119,-56097.773
27,34.047,-57193.129
28,33.970,-58310.834
29,33.906,-59452.027
30,33.837,-60616.502
31,33.771,-61803.913
32,33.702,-63015.808
33,33.643,-64250.885
34,33.577,-65509.667
35,33.519,-66792.315
36,33.457,-68097.740
37,33.396,-69426.326
38,33.338,-70777.556
39,33.283,-72151.714
40,33.235,-73547.967
41,33.175,-74964.773
42,33.125,-76403.083
43,33.072,-77861.670
44,33.027,-79340.095
45,32.970,-80837.553
46,32.927,-82353.371
47,32.882,-83886.828
48,32.841,-85438.098
49,32.790,-87005.239
50,32.754,-88588.928
51,32.715,-90187.647
52,32.671,-91800.725
53,32.634,-93427.720
54,32.595,-95068.483
55,32.561,-96722.164
56,32.522,-98388.339
57,32.497,-100067.006
58,32.460,-101757.054
59,32.428,-103458.125
60,32.393,-105170.252
61,32.365,-106893.261
62,32.336,-108626.051
63,32.306,-110367.886
64,32.283,-112119.343
65,32.258,-113880.536
66,32.227,-115649.995
67,32.205,-117428.407
68,32.183,-119215.106
69,32.164,-121007.611
70,32.137,-122808.950
71,32.118,-124616.232
72,32.095,-126431.285
73,32.081,-128252.694
74,32.059,-130079.278
75,32.047,-131912.717
76,32.022,-133752.277
77,32.011,-135596.453
78,31.996,-137445.408
79,31.980,-139301.761
80,31.965,-141161.022
81,31.953,-143025.670
82,31.942,-144894.268
83,31.935,-146767.844
84,31.922,-148644.762
85,31.911,-150524.474
86,31.897,-152409.114
87,31.894,-154297.504
88,31.876,-156189.099
89,31.875,-158082.832
90,31.864,-159981.015
91,31.859,-161881.972
92,31.850,-163784.926
93,31.849,-165691.073
94,31.841,-167599.185
95,31.834,-169510.227
96,31.830,-171423.062
97,31.822,-173338.610
98,31.822,-175256.328
99,31.813,-177176.114
100,31.815,-179098.005
101,31.804,-181021.566
102,31.806,-182946.272
103,31.799,-184873.973
104,31.803,-186802.245
105,31.798,-188732.003
106,31.801,-190665.305
107,31.795,-192598.211
108,31.793,-194531.688
109,31.787,-196467.808
110,31.786,-198406.682
111,31.790,-200345.214
112,31.780,-202285.138
113,31.778,-204225.803
114,31.782,-206169.218
115,31.780,-208113.441
116,31.776,-210058.030
117,31.774,-212003.594
118,31.769,-213952.105
119,31.775,-215900.902
120,31.768,-217850.985
121,31.765,-219801.902
122,31.769,-221753.281
123,31.764,-223705.903
